Latitude (decimal degrees):	48.630
Longitude (decimal degrees):	2.270
Elevation (m):	56
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20090101:0010,0.0,0.0,0.0,0.0,-1.35,1.79,0.0
20090101:0110,0.0,0.0,0.0,0.0,-0.85,0.34,0.0
20090101:0210,0.0,0.0,0.0,0.0,-2.32,1.24,0.0
20090101:0310,0.0,0.0,0.0,0.0,-1.85,1.1,0.0
20090101:0410,0.0,0.0,0.0,0.0,-1.46,1.31,0.0
20090101:0510,0.0,0.0,0.0,0.0,-0.77,1.52,0.0
20090101:0610,0.0,0.0,0.0,0.0,-0.7,1.86,0.0
20090101:0710,0.0,0.0,0.0,0.0,-0.14,2.0,0.0
20090101:0810,0.0,10.0,0.0,2.75,-0.15,1.79,0.0
20090101:0910,1.0,52.0,0.0,9.59,0.25,2.14,0.0
20090101:1010,0.0,55.0,0.0,14.71,0.86,2.21,0.0
20090101:1110,0.0,63.0,0.0,17.7,1.74,2.21,0.0
20090101:1210,0.0,60.0,0.0,18.27,2.36,2.14,0.0
20090101:1310,0.0,57.0,0.0,16.35,2.73,2.28,0.0
20090101:1410,0.0,45.0,0.0,12.14,2.77,2.34,0.0
20090101:1510,2.0,32.0,0.0,6.02,2.64,2.28,0.0
20090101:1610,0.0,0.0,0.0,0.0,2.33,2.0,0.0
20090101:1710,0.0,0.0,0.0,0.0,2.04,2.07,0.0
20090101:1810,0.0,0.0,0.0,0.0,1.71,2.41,0.0
20090101:1910,0.0,0.0,0.0,0.0,0.72,2.48,0.0
20090101:2010,0.0,0.0,0.0,0.0,0.15,2.55,0.0
20090101:2110,0.0,0.0,0.0,0.0,-0.18,2.48,0.0
20090101:2210,0.0,0.0,0.0,0.0,-0.47,2.34,0.0
20090101:2310,0.0,0.0,0.0,0.0,-0.81,2.14,0.0
20090102:0010,0.0,0.0,0.0,0.0,-1.16,2.14,0.0
20090102:0110,0.0,0.0,0.0,0.0,-1.52,2.21,0.0
20090102:0210,0.0,0.0,0.0,0.0,-1.87,2.28,0.0
20090102:0310,0.0,0.0,0.0,0.0,-2.01,2.48,0.0
20090102:0410,0.0,0.0,0.0,0.0,-2.21,2.55,0.0
20090102:0510,0.0,0.0,0.0,0.0,-2.17,2.76,0.0
20090102:0610,0.0,0.0,0.0,0.0,-2.21,2.83,0.0
20090102:0710,0.0,0.0,0.0,0.0,-1.85,2.55,0.0
20090102:0810,0.0,0.0,0.0,0.0,-1.91,2.55,0.0
20090102:0910,0.0,0.0,0.0,0.0,-1.73,3.03,0.0
20090102:1010,0.0,79.0,0.0,14.77,-1.08,3.24,0.0
20090102:1110,0.0,0.0,0.0,0.0,-0.6,3.38,0.0
20090102:1210,48.0,151.0,0.0,18.36,-0.02,3.79,0.0
20090102:1310,0.0,0.0,0.0,0.0,0.45,3.86,0.0
20090102:1410,130.01,56.0,0.0,12.26,0.9,3.86,0.0
20090102:1510,0.0,0.0,0.0,0.0,0.79,3.17,0.0
20090102:1610,0.0,0.0,0.0,0.0,0.08,3.17,0.0
20090102:1710,0.0,0.0,0.0,0.0,-0.52,3.31,0.0
20090102:1810,0.0,0.0,0.0,0.0,-0.45,3.45,0.0
20090102:1910,0.0,0.0,0.0,0.0,-0.8,3.66,0.0
20090102:2010,0.0,0.0,0.0,0.0,-0.83,3.72,0.0
20090102:2110,0.0,0.0,0.0,0.0,-0.57,3.86,0.0
20090102:2210,0.0,0.0,0.0,0.0,-0.49,4.0,0.0
20090102:2310,0.0,0.0,0.0,0.0,-0.34,4.07,0.0
20090103:0010,0.0,0.0,0.0,0.0,-0.36,4.07,0.0
20090103:0110,0.0,0.0,0.0,0.0,-0.27,4.07,0.0
20090103:0210,0.0,0.0,0.0,0.0,-0.43,4.0,0.0
20090103:0310,0.0,0.0,0.0,0.0,-0.6,4.0,0.0
20090103:0410,0.0,0.0,0.0,0.0,-0.69,4.0,0.0
20090103:0510,0.0,0.0,0.0,0.0,-0.75,4.0,0.0
20090103:0610,0.0,0.0,0.0,0.0,-0.96,4.0,0.0
20090103:0710,0.0,0.0,0.0,0.0,-1.01,3.79,0.0
20090103:0810,8.0,13.25,0.0,2.78,-0.98,3.72,0.0
20090103:0910,0.0,0.0,0.0,0.0,-0.77,3.45,0.0
20090103:1010,172.01,66.0,0.0,14.82,-0.42,4.21,0.0
20090103:1110,0.0,0.0,0.0,0.0,-0.04,4.76,0.0
20090103:1210,250.01,67.0,0.0,18.46,0.39,4.62,0.0
20090103:1310,0.0,0.0,0.0,0.0,0.61,4.48,0.0
20090103:1410,133.01,57.0,0.0,12.38,0.53,4.21,0.0
20090103:1510,0.0,0.0,0.0,0.0,0.03,3.45,0.0
20090103:1610,0.0,0.0,0.0,0.0,-1.17,3.17,0.0
20090103:1710,0.0,0.0,0.0,0.0,-2.33,2.9,0.0
20090103:1810,0.0,0.0,0.0,0.0,-3.03,2.69,0.0
20090103:1910,0.0,0.0,0.0,0.0,-2.71,2.62,0.0
20090103:2010,0.0,0.0,0.0,0.0,-3.03,2.62,0.0
20090103:2110,0.0,0.0,0.0,0.0,-3.3,2.55,0.0
20090103:2210,0.0,0.0,0.0,0.0,-3.55,2.41,0.0
20090103:2310,0.0,0.0,0.0,0.0,-3.81,2.21,0.0
20090104:0010,0.0,0.0,0.0,0.0,-4.15,1.93,0.0
20090104:0110,0.0,0.0,0.0,0.0,-4.57,1.79,0.0
20090104:0210,0.0,0.0,0.0,0.0,-4.99,1.86,0.0
20090104:0310,0.0,0.0,0.0,0.0,-5.26,1.93,0.0
20090104:0410,0.0,0.0,0.0,0.0,-5.44,1.93,0.0
20090104:0510,0.0,0.0,0.0,0.0,-5.62,1.86,0.0
20090104:0610,0.0,0.0,0.0,0.0,-5.86,1.72,0.0
20090104:0710,0.0,0.0,0.0,0.0,-6.25,1.72,0.0
20090104:0810,5.0,14.85,0.0,2.81,-6.41,1.59,0.0
20090104:0910,0.0,0.0,0.0,0.0,-4.72,1.1,0.0
20090104:1010,96.01,106.0,0.0,14.89,-3.11,0.83,0.0
20090104:1110,0.0,0.0,0.0,0.0,-1.88,0.62,0.0
20090104:1210,126.01,134.0,0.0,18.56,-0.88,0.48,0.0
20090104:1310,0.0,0.0,0.0,0.0,-0.34,0.55,0.0
20090104:1410,50.0,96.0,0.0,12.51,-0.23,0.83,0.0
20090104:1510,0.0,0.0,0.0,0.0,-0.55,1.03,0.0
20090104:1610,0.0,0.0,0.0,0.0,-1.33,1.45,0.0
20090104:1710,0.0,0.0,0.0,0.0,-2.38,1.31,0.0
20090104:1810,0.0,0.0,0.0,0.0,-3.38,1.17,0.0
20090104:1910,0.0,0.0,0.0,0.0,-3.51,0.9,0.0
20090104:2010,0.0,0.0,0.0,0.0,-4.09,1.24,0.0
20090104:2110,0.0,0.0,0.0,0.0,-3.95,1.52,0.0
20090104:2210,0.0,0.0,0.0,0.0,-3.44,1.79,0.0
20090104:2310,0.0,0.0,0.0,0.0,-2.94,1.86,0.0
20090105:0010,0.0,0.0,0.0,0.0,-2.67,1.86,0.0
20090105:0110,0.0,0.0,0.0,0.0,-2.39,2.0,0.0
20090105:0210,0.0,0.0,0.0,0.0,-2.17,2.0,0.0
20090105:0310,0.0,0.0,0.0,0.0,-2.03,2.07,0.0
20090105:0410,0.0,0.0,0.0,0.0,-1.79,2.0,0.0
20090105:0510,0.0,0.0,0.0,0.0,-1.76,2.14,0.0
20090105:0610,0.0,0.0,0.0,0.0,-1.82,2.14,0.0
20090105:0710,0.0,0.0,0.0,0.0,-1.7,2.14,0.0
20090105:0810,0.0,11.0,0.0,2.85,-1.58,2.07,0.0
20090105:0910,0.0,0.0,0.0,0.0,-1.19,1.79,0.0
20090105:1010,4.0,98.0,0.0,14.96,-0.52,1.86,0.0
20090105:1110,0.0,0.0,0.0,0.0,0.09,1.86,0.0
20090105:1210,0.0,38.0,0.0,18.67,0.73,1.86,0.0
20090105:1310,0.0,0.0,0.0,0.0,0.89,1.66,0.0
20090105:1410,0.0,38.0,0.0,12.65,0.83,1.31,0.0
20090105:1510,0.0,0.0,0.0,0.0,0.49,0.41,0.0
20090105:1610,0.0,0.0,0.0,0.0,0.08,0.9,0.0
20090105:1710,0.0,0.0,0.0,0.0,-0.45,1.59,0.0
20090105:1810,0.0,0.0,0.0,0.0,-0.77,2.48,0.0
20090105:1910,0.0,0.0,0.0,0.0,-1.82,3.52,0.0
20090105:2010,0.0,0.0,0.0,0.0,-2.09,3.52,0.0
